Speaker Name,Speaker Title,Speaker Description
Dale J. Stephens,Life long learner and Entrepreneur,"Dale J. Stephens left school at twelve to become an unschooler, the self-directed branch of homeschoolers. Instead of going to middle and high school he organized collaborative learning groups, found mentors, and volunteered in his community. Dale leads UnCollege, the social movement empowering students to create their own education."
Uma Ramakrishnan,"Scientist, TIFR","Uma uses genetic data to understand the history, present and potential future of populations. Her early research explored how choosiness for mates impacts genetic variation, and the relationships between African click-speaking hunter-gatherer groups. Uma now applies her research to wildlife, using non-invasive DNA sources (like poop!) to investigate tiger population sizes over the last 200 years, connectivity between populations, and how species came to the Indian subcontinent, given their recent arrival to Asia. She is a National Board for Wildlife member, Ramanujan fellow and DAE Outstanding Scientist."
Jason Wishnow,Filmmaker,"Jason Wishnow is the filmmaker behind TEDTalks, the Peabody Award winning video series watched nearly a billion times (even in outer space). Wishnow works at the intersection of film and emerging technologies and has been called an “online-video virtuoso” (New York Times, 2009), the “enfant terrible of digital film” (The Guardian, 2000), and one of the ten most influential digital filmmakers of 1999 (RES Magazine). Prior to joining TED, Wishnow founded one of the first film websites, The New Venue, in the mid-’90s, an entire decade before YouTube."
Scott Cook,Financial Software Maven,Scott Cook’s was born and raised in an LA suburb after his parents emigrated from Wisconsin. Scott was ‘nerdy’ as a kid and even programmed his school district’s one computer. Scott attended USC and later went to Harvard Business School.
Varun Agarwal,Media/Merchandise Maverick,"By the age of 25, Varun Agarwal was already a filmmaker, entrepreneur and the bestselling author of ‘How I braved Anu Aunty & Co-founded A Million Dollar Company’. He is the co-founder of Alma Mater, India’s biggest college apparel/memorabilia company, and also the co-founder of Reticular, a social media marketing firm. The pursuit of his interests brought about collaborations with A.R. Rahman, Preity Zinta, and many others."
Balazs Gardi,Photographer,"Hungary-born Balazs is a leader in the practice and theory of photojournalism, with a vision to reshape modern media practice for the 21st century. His multi award-winning work includes in-depth coverage of the Afghan war – much after media attention had turned to Iraq – and initial photography of daredevil Felix Baumgartner during his jump to earth from the stratosphere. His project ‘Facing Water Crisis’ is an independent worldwide expedition exploring the far-reaching consequences of water scarcity. The latter has evolved into Azdarya, an online documentary magazine solely dedicated to water, which he recently launched with his wife."
Pushpa Basnet,Social Worker,"A CNN Hero of the Year 2012, Pushpa set up a home in Nepal for children who once lived in prisons with their incarcerated parents. For seven years, she has been running a centre to provide them with education, food, medical care and a happy childhood outside of prison walls. The children call her “Mamu” because of her loving and motherly care. With about 80 children still living inside prison walls, she is determined to bring them out and live out her promise as “Mamu” to these children in need."
Arun Kumar,Poet and Executive,"Arun Kumar was nominated, on October 4, 2013, by President Obama to the position of Assistant Secretary of Global Markets and Director General of the US and Foreign Commercial Service."
Robin Chaurasiya,Activist,"While serving in the US military, Robin had a bone to pick with her big bosses: along with several other activists, she campaigned against the ‘Don’t Ask, Don’t Tell’ policy, which forbade lesbians, gay and transgender people from serving openly. Herself a lesbian and survivor of abuse, Robin’s interest in girls’ and women’s issues led her to work with NGOs around the world for 10 years before starting her own NGO in Mumbai to challenge the status quo. Kranti empowers girls from Mumbai’s red-light areas to turn round the ‘victim’ status and become agents of social change."
Vandana Srinivasan,Musician,"Vandana Srinivasan is a Playback Singer, Independent Musician and Live Performer based in Madras. Currently in her fourth year in the Film Industry, she has several noteworthy songs with reputed composers in Tamil as well as releases in Telugu and Kannada. She has toured the world with multiple performances in Australia, Canada, Singapore, Dubai; the most special one being at the London Olympics 2012 where she showcased Indian music along with her band Staccato. At the moment, she is actively collaborating with various musicians and hopes to release her album very soon"
Bilal Ghalib,Catalyst,"Bilal Ghalib is an Iraqi American promoting the maker spaces (a “Do-It-Yourself”/ open-source platform) around the world.  His makerspaces fostered ideas such as landmine detection systems and a heart monitor that works without the use of electricity, a limited resource in developing nations."
Sandeep Divekar,Serial Technology entrepreneur,"Sandeep Divekar is GM of Global Technology Initiatives at Reliance MediaWorks. He is responsible for commercializing the company’s Academy Award winning image processing and film restoration technology and for finding new application areas for the technology. Prior to joining Reliance Mediaworks, Sandeep Divekar set up a South Asian IPTV network for Neulion Inc. which involved negotiating contracts with South Asian television channels, setting up satellite capture teleports in Nepal and India, market research, designing packaging and pricing and launched the network to consumers in Canada and the US."
Tushar Vashisht,Health Entrepreneur,"In 2011, along with a friend, Tushar Vashisht conducted a lifestyle experiment living at the government-stipulated poverty line of Rs 32/day. The experiment and its documentation gave scientific voice to the poor, creating empathy amongst India’s privileged, and providing concrete policy solutions to the government. It also inspired him to co-found HealthifyMe, the world’s first Indian nutrition and calorie tracker for healthy living. HealthifyMe has gone on to serve 15 million users and has raised $35M in equity capital."
Abhay Deol,Actor,"Indian film actor Abhay Deol, often hailed as a “thinking actor” in the Hindi movie circles, has appeared in popular films such as Dev D, Oye Lucky! Lucky Oye!, and Zindagi Na Milegi Dobara."
Amar Hanspal,Digital Portfolio Designer,"As a leader, Amar Hanspal builds teams that empower everyone to imagine, design and create a better world."
Maira Kalman,Illustrator Extraordinaire,"Maira Kalman is an author/illustrator who travels the world and depicts her experiences. She creates articles for The New York Times, The New Yorker and numerous other publications. She is the author of over twenty books for adults and children."
Kshitij Marwah,"Innovator, Entrepreneur, Technologist",N/A
Sanvar Oberoi,Agricultural Entrepreneur,"Sanvar Oberoi is the Co-Founder and Director of Finance and Digital Technology at Bombay Hemp Company (BOHECO), a hybrid social enterprise transforming agriculture in developing economies. BOHECO is South Asia’s pioneering help company and is working with governements, scientists, farmers, industry and consumers globally to build an end-to-end ecosystem and self sustaining model which unleashes the supercrop’s tremendous socio-economic and environmental benefits at large scale."
Alicia Souza,Illustrator,"After working as a banker, Alicia took up a full-fledged career in illustration as a designer for Chumbak, India’s trendiest home-grown souvenir company. A year and a half later, she set out on her own as a freelancer, drawing cute and quirky everyday cartoons for a sizeable and loyal online fan-base, and illustrating for some of India’s oldest institutions – like Tinkle magazine!"
Luke Iseman,Director of Hardware at Y Combinator,N/A
Param Jaggi,Eco Innovator,"Param is the 19-year-old founder & CEO of Ecoviate, a research and development company focusing on disposable green-technologies. Since the age of 13, he has innovated bio-fuel preparation, designed highly effective bioreactors, created a device that mitigates motor vehicle emissions (currently patented), and many more. Param was named to the 2012 & 2013 Forbes ‘30 Under 30: Energy’ list for his work in green-technologies. Aside from being a Junior at Vanderbilt University, studying Mechanical Engineering & Economics, Param has consulted as a research associate and even a rocket scientist."
Joi Barua,Musician,"Joi Barua is a musician from Assam, India who fell in love with music at the age of four, after his father gifted him a violin. Growing up, his town had one piano and no music teachers, and his father had to cross the border and get him a keyboard from Bhutan. Since then, Joi has been making waves in the advertising, music, and film circuit in Mumbai with his musical stylings and melodious voice. He is also the lead vocalist of the band Joi and has a mixed musical style incorporating elements of rock, soul, jazz, folk and world music."
Shruti Haasan,"Actress, Singer","Shruti Haasan is an Indian actress, singer and music composer who works in the South Indian film industry and Bollywood. She sang her first song at the age of six and has continued her stint in music through her work as a singer in Indian languages. She trained in Hindustani classical music and studied at the Musicians Institute in California."
Asima Ensemble,Vocal and Percussion Ensemble,"Asima is a boundary-breaking vocal and percussion ensemble from Trivandrum, Kerala. The word “asima” in sanskrit means “beyond boundaries”, and the ensemble combines elements from India’s rhythmic and melodic systems with harmonic traditions of western music."
Kelli Swazey,Anthropologist,"Kelli is an American-born cultural anthropologist based in Indonesia, whose work focuses on the role of the media in the construction of religious identity. With a strong belief in the potential of new media to change perspectives, she is launching a collaborative platform to facilitate the circulation of stories and voices from the communities of Eastern Indonesia. Her work has landed her in interesting situations – she once lived with and studied the Toraja people of South Sulawesi, whose practice it is to live with the mummified bodies of their deceased relatives."
Roger Fisk,Presidential PR Guru,"Roger Fisk has had a key “behind the scenes role” in President Obama’s organization since then-Senator Obama announced his run for president in February 2007. He has seen from the beginning the development of cutting-edge organizing strategies, the application of agile on-line organizing tools, and a truly innovative, thoroughly modern mobilization of social media. With 6 months of service on the President’s successful 2012 re-election, Roger has worked with all of those tools as they were perfected in the second campaign."
Sunil Thankamushy,Creative Director virtual worlds,"Sunil Thankamushy is a US-based, sixteen-year veteran of the video game industry who was part of the core teams that developed highly acclaimed, successful video game franchises, such as as Call of Duty™, Finest Hour™, and Medal of Honor™."
Mark Magidson,Visionary filmmaker,"An entrepreneur, inventor and industrial designer with a diverse technical background, Mark is a filmmaker who has undertaken artistic projects that are epic in scale, entail great technical complexity and innovation, and transcend an ordinary view of the world. Producer, co-writer, co-editor of award winning films Chronos (1985), Baraka (1992), and Samsara (2012), he has taken crews to over 50 countries in search of profound and one of a kind imagery."
Eames Demetrios,"Creator, Kymaerica and Kymaerxthaere","Eames Demetrios is best known in the design world for his work as director of the Eames Office spearheading the successful re-discovery of the Charles and Ray Eames design heritage by new generations. The mission of the Eames Office is communicating, preserving and extending the work of Charles and Ray Eames. His current large-scale project, Kymaerxthaere, is a multi-pronged and ongoing work of multi-dimensional storytelling and has been underway for several years. The project can be found in stories set in bronze markers–like a novel where every page is in a different city. Kcymaerxthaere’s manifestations include writings, video, performances, images, installation, and limited edition prints. You can discover some of the stories in India in the small village of Sakad in the tribal area of the Madyha Pradesh. Demetrios looks forward to bringing more Kcymaerxthereal stories to India. He currently lives in Southern California with his wife and two sons."
Anu Sridharan,Founder-CEO of NextDrop,"As a Civil & Environmental Engineer, Anu is passionate about providing more reliable government services to citizens. NextDrop began by tackling the problem of erratic water supply – in most of urban India, water is available only a few hours at a time or a few times a week, but residents have no way of knowing when. Working with operators in the field, NextDrop sends text messages 60 minutes before water arrives in your tap, while also offering utility boards the tools to better manage and track leakages in water supply. Anu has also been selected to the Forbes “30 Social Entrepreneurs Under 30” list"
Shankar Tucker,"Clarinetist, Composer","Shankar Tucker is an American-born clarinetist and composer who creates music that explores contemporary and traditional Indian sounds. He collaborates with other musicians to represent new generation Indian artists – bringing their music to an internationally and culturally diverse audience, both on- and offline."
Elishai Ezra,Bio Engineer,"Elishai is the principle investigator of the Neuro & Biomorphic Engineering Lab (NBEL-lab.com) and an Assistant Professor at the Open University of Israel. In his research, Elishai studies the realm of brain-inspired machines, using artificial brains to develop new frameworks for robotics and vision processing. He is also the founding director of NBEL Innovation Workshops at Biohouse, Hadassah Medical Center — a design and engineering company which integrates computer-aided design, electrical and software engineering to develop novel medical solutions."
Jeff Marx,"Co-Creator, Co-Writer of Avenue Q",Best known as the co-creator and co-writer of the hit Broadway musical Avenue Q. Winner of three 2004 Tony Awards including Best Musical. Avenue Q became the 20th longest running show in Broadway history and it is still running in New York and all over the world.
Nikesh Arora,Senior Vice President and Chief Business Officer,"Nikesh oversees all revenue and customer operations, as well as marketing and partnerships. Since joining Google in 2004, he has held several positions with the company. Most recently, he led Google’s global direct sales operations. He also developed and managed the company’s operations in the European, Middle Eastern and African markets and was responsible for creating and expanding strategic partnerships in those regions for the benefit of Google’s growing number of users and advertisers."
Stefan Sagmeister,Designer,Stefan Sagmeister is one of the most celebrated figures in the world of visual communication. He has won two Grammy Awards for his work in album covers and packaging design. Sagmeister & Walsh produces work that stands out among mediums and disciplines of graphic design.
Snigdha Manchanda,Tea Sommelier,"Having grown up collecting exotic teas from around the world in her father’s old trunk, Snigdha went on to train as a Tea Taster in Sri Lanka. Under the tutelage of Tea Master Nao Kumekawa from Japan, Snigdha specialised in crafting hand-blended teas, and finally set up her own line named after her childhood treasure chest – Tea Trunk. Snigdha works closely with a number of tea estates across India to promote quality Indian teas – to her, India without tea is like France without wine. She next plans to launch a global learning hub for tea in India."
Prakriti Dutta,"Dhrupad singer, Naciketa","Prakriti Dutta is an internationally acclaimed dhrupad singer .She is a performer, actor and composer. After securing first position in M.A from Rabindra Bharati university, India, she had received a MSc degree in Music in the community from University of Edinburg and honed her skill as an music therapist and community musician .She was under the tutelage of  Ustad Zia Fariduddin Dagar in his dhrupad gurukul in Mumbai.  Recently she has founded a performing art company ‘Sound Space’ for sound, movement and arts in her hometown Kolkata. It is an organically designed amphitheatre which promotes creative minds and art in South of Kolkata. Presently her work is divided between two cities Kolkata and London. She is actively associates with a London based music theatre company ‘Opera Circus’ in their production Naciketa based on Upanishad."
Darren Abrahams,"Tenor, Naciketa","Darren Abrahams is a singer and performer who has appeared in opera all around the world, working for such companies as the ROH, ENO, Scottish Opera, WNO, Wexford Festival Opera, Teatro Comunale di Bologna, American Opera Projects and the Young Vic. Darren regularly premieres new works and has helped develop new operas for The Royal Opera, Scottish Opera, Complicite, The Opera Group, Opera Circus, the Batignano Festival and the Brian Irvine Ensemble in places as diverse as Belfast, Italy and India. Concert appearances have taken him around the UK, US and Europe and includes performances with the LPO, the Royal Seville Symphony, and the St Petersburg Symphony. Darren is also a busy recitalist, creating concerts that defy genre and style."
Nigel Osborne,"Composer, Naciketa","Nigel Osborne has studied composition with Kenneth Leighton, Egon Wellesz, and Witold Rudzinski."
John Werner,Project Innovator - Camera Culture Group at MIT Media Lab,"John Werner is the Project Innovator for the Camera Culture Group at MIT Media Lab.  He is helping to create new imaging platforms, developing hardware and software technologies for augmenting (super human) human vision.  He is bringing young people from around the world together to use rapid prototyping to solve some of real-world problems, working on large scale online learning, and building a community to disseminate technology for human vision and visual computing.  By disseminating technology to prevent blindness, he is enabling the visually challenged, and bringing eye care to developing countries.  His aim is to foster entrepreneurship, to take ideas into the real world for impact, connecting industry with the untapped knowledge of the geniuses of the Media Lab."
Satya Hinduja,Sound Artist,"Satya’s 9 year long journey has ranged from scoring for Indian films to collaborating with Indian artists and musicians. While her artistic footprint has evolved from eastern traditional to western electronica, Satya’s spiritual vision is moulded by a blend of the two. Her label, Tabula Rasa, hopes to play a key role in revolutionizing the electronica movement."
Shwetal Patel,"Officer, Kochi-Muziris Biennale","Born in India, Shwetal A. Patel spent his childhood in Lusaka, Zambia, migrating to the U.K when he was nine years old. During his time in the U.K, Patel studied Economics at the University of London, graduating in 2001 whilst working in the fields of music, fashion, film & art in the burgeoning artistic scene of East London. Patel chose Florence, Italy as a base to live and work for 4 years and in 2010 was invited to Mumbai to develop a project to create India’s first contemporary art biennial; an artist led initiative spearheaded by the Kochi Biennale Foundation."
Neeraj Arora,"Vice President, Whatsapp Inc","Neeraj Arora manages “all things business at WhatsApp”. Neeraj is the vice-president of business development for the multi-billion dollar company WhatsApp, now a part of the Facebook family. He studied mechanical engineering at the Indian Institute of Technology in New Delhi, and received his Masters in Business Administration from the Indian School of Business in 2006. He made the front page of The Economic Times with his technology success story. Neeraj spent four years handling corporate development for Google Inc. before joining WhatsApp when it was still a fledgling startup in 2011"
Vivek Wadhwa,"Academic, Researcher, Writer, Entrepreneur","Vivek Wadhwa is a Fellow at Arthur & Toni Rembe Rock Center for Corporate Governance, Stanford University; Director of Research at the Center for Entrepreneurship and Research Commercialization at the Pratt School of Engineering,  Duke University; and Distinguished Fellow at Singularity University. He is author of  “The Immigrant Exodus: Why America Is Losing the Global Race to Capture Entrepreneurial Talent”—which was named by The Economist as a Book of the Year of 2012, and ” Innovating Women: The Changing Face of Technology”—which documents the struggles and triumphs of women.  He was named by Foreign Policy Magazine as Top 100 Global Thinker in 2012. In 2013, TIME Magazine listed him as one of The 40 Most Influential Minds in Tech."
Arunima Sinha,Mountain Climber,N/A
KUMBHA Team,Social Innovation for Kumbh Mela,"Kumbhthon is a technical hackathon, started in association with Massachusetts Institute of Technology (MIT, USA) for promoting social innovations for the upcoming Kumbhmela in Nashik."
Ramesh Raskar,"Associate Professor, MIT Media Lab","Ramesh Raskar is an Associate Professor at MIT Media Lab. Ramesh Raskar joined the Media Lab from Mitsubishi Electric Research Laboratories in 2008 as head of the Lab’s Camera Culture research group. His research interests span the fields of computational photography, inverse problems in imaging and human-computer interaction. Recent projects and inventions include transient imaging to look around a corner, a next generation CAT-Scan machine, imperceptible markers for motion capture (Prakash), long distance barcodes (Bokode), touch+hover 3D interaction displays (BiDi screen), low-cost eye care devices (Netra,Catra), new theoretical models to augment light fields (ALF) to represent wave phenomena and algebraic rank constraints for 3D displays(HR3D)."
Kunal Bahl,"Co-Founder & CEO, snapdeal.com","With a business degree from Wharton, Kunal Bahl is the Co-Founder & CEO of India’s largest online marketplace, Snapdeal.com. With the mission to create life-changing experiences through this platform, Kunal today has the largest online database with over 25 million members and 50,000 sellers. With millions of products from thousands of national, international and regional brands, Snapdeal.com has partnered with several global marquee investors to deliver products across the country to 5000+ cities and towns in India. What else keeps Kunal busy you may ask, he serves on Unilever’s Global Digital Advisory Board and the Board of Governors of The Indian Institute of Corporate Affairs."
Gokul Chandra Das,Dhak Musician,"Gokul Chandra Das is a dhak (a traditional percussion instrument from Bengal played during religious festivals) player whose music is an amalgamation of classical and folk. Gokul Das was the first dhaki to play at the Hollywood Bowl. Gokul Chandra Das is one of the few dhakis, if not the only one, to take the dhak mainstream and introduce this regional instrument and art to the world. Das comes from a traditional ‘Dhaki’ family."
Zenia Tata,"Program Director, Global Development, XPRIZE Foundation","Zenia Tata joins XPRIZE with more than 21 years of experience in program design, management and business development for not-for-profit organizations and social enterprises. Her work has spanned 20 countries in Asia, Africa and Central America, with diverse issues ranging from water and food scarcity, economic enhancement, climate change, land rights, healthcare, education and child welfare. Her unique contribution has been to infuse these traditional development solutions with an entrepreneurial approach, where all stakeholders can draw tangible value from these programs and services."
Ratan Tata,"Chairman Emeritus, TATA Sons","Indian businessman and chairman Emeritus of Tata Sons. Heading the Tata Group from 1991 – 2012, Ratan Tata was the Chairman of Tata Sons, holding company of the Tata Group and major Group companies including Tata Motors, Tata Steel, Tata Consultancy Services, Tata Power and more. He is also Chairman of two of the largest private sector promoted philanthropic trusts in India. During his tenure, the Group has further expanded its global reach, with its revenues growing over eleven-fold to around USD$70 billion. Mr. Tata joined the Tata Group in December 1962. After serving in various companies, he was appointed the Director-in-Charge of the National Radio & Electronics Company Limited (Nelco) in 1971. In 1981, he was named Chairman of Tata Industries, the Group’s other holding company, which he was responsible for transforming into the Group’s strategy think-tank and a promoter of new ventures in high-technology businesses. He is associated with many organizations in India and abroad in varying capacities, some of which are the government of India’s Investment Commission, the Prime Minister’s Council on Trade and Industry, South Africa’s International Investment Council, several prestigious universities and several philanthropies."
Peter Diamandis,"Chairman and CEO, XPRIZE Foundation","Dr. Peter Diamandis is the Chairman and CEO of XPRIZE, which leads the world in designing and launching large incentive prizes to drive radical breakthroughs for the benefit of humanity. Best known for the $10 million Ansari XPRIZE for private spaceflight and the $10 million Progressive Automotive XPRIZE for 100 mile-per-gallon equivalent cars, XPRIZE is now launching prizes in Exploration, Life Sciences, Energy, and Education."
Aisha Chaudhary,Inspirational Artist,"Seventeen year-old Aisha Chaudhary was born with an immune deficiency disorder and overcame a predicted life expectancy of only one year to have become an accomplished artist today. Despite a serious lung disease called Pulmonary Fibrosis, her persistent optimism, extraordinary maturity in the face of impossible odds, and calm perspective on life’s challenges have been an inspiration to many."
Rajkumar Hirani,Filmmaker,"National Award and Filmfare Awardwinning director, editor and producer Rajkumar Hirani has firmly cemented his place as one of India’s leading contemporary filmmakers. Best known for his hit films ‘Munnabhai: MBBS’ and ‘3 Idiots’, Hirani has a reputation for making films that break all the formulaic conventions associated with Indian cinema, and address some of India’s major social and cultural issues. After completing a 3 year diploma at the Film and Television Institute of India, his first taste of success was in the world of advertising, before making the transition to cinema."
Melati & Isabel Wijsen,Eco- Environmentalist,"Born and raised in Bali, Indonesia, youngsters Melati Wijsen (13) and Isabel Wijsen (11) are working to transform their community and society through their project BBPB (Bye Bye Plastic Bags), which focuses on the issue of waste disposal. Today, BBPB has become a well-known social initiative with a team of 25 volunteers from different local and international schools working to increase awareness around garbage disposal and advocate to change public perception about the use of plastic."
Nameet MVS,Horticulturist,"Japanese Mizuna, exotic lettuces, and rare peppers from the Peruvian Andes – all grown locally in Karnataka, India? Yes, this is actually happening, thanks to Nameet MVS, co-founder of First Agro, India’s first commercial grower organization with Zero Pesticide™ fresh produce. After leaving his full-time job as a pilot and flying instructor in 2011, Nameet , his brothers Naveen MV and KN Prasad came together to pursue their passion for healthy fresh produce."
Mark Foster Gage,Architect,"Mark Foster Gage is a recognized innovator in the fields of architecture and design. His pioneering designs combining architectural practice with digital technologies, advanced materials, and emerging media platforms have been exhibited in institutions including the Museum of Modern Art and the Art Institute of Chicago, and featured in the press such as Vogue, Wired, Fast Company, The New York Times, USA Today, PBS and MTV."
Jitish Kallat,Artist,"Mumbai artist Jitish Kallat’s work takes form in a wide variety of media including painting, sculpture, site-specific installations, animation videos and photography. Jitish’s work often overlays disparate historical dates, everyday images and events into interconnected palimpsests and portrays themes like time, sustenance and mortality. Kallat’s work has been exhibited widely at museums and institutions including Tate Modern (London), Martin Gorpius Bau (Berlin) and the Institut Valencia d’Art Modern (Spain) to name just a few and has been a part of the Havana Biennale, Gwangju Biennale, Asian Art Biennale, Curitiba Biennale, Guangzhou Triennale and the Kiev Biennale amongst many others."
Anshu Gupta,"Founder, Goonj","Anshu Gupta is the founder of Goonj, a primarily volunteer run organization based in New Delhi that provides clothes and other basic amenities to millions across India by turning one person’s waste into a resource for another. In 1998, Anshu left his job as a manager of corporate communications in a large Indian company to found Goonj and travel across India in order to understand the needs of the people of his country. From collecting clothes from his own house, relatives and friends, and distributing them on the roads in the chilly winter nights of Delhi, his dream has come a long way."
Anupama Chopra,"Film Critic, Author","Anupama Chopra is a film critic and book author. She has written about the Hindi film industry since 1993. Film Companion, a YouTube channel, is her latest love letter to the movies. She is the film critic for Hindustan Times and NDTV 24/7 and a contributing editor to Vogue (India). She has anchored ‘The Front Row’ on Star World and ‘Star Verdict’ on Star Plus. Anupama  also presented and scripted a weekly film review show called Picture This on NDTV 24/7. Her work has been published extensively in India Today, India’s largest English language magazine. She has also written about Bollywood for various international publications such as The New York Times, The Los Angeles Times, Variety and Sight & Sound."
Abhijit Jejurikar & Dharavi Rocks,Junk Percussion Band,"Dharavi Rocks is part of an educational project of Acorn Foundation, working for the welfare of slum children and waste collectors/rag-pickers. The band started a few years ago with children in the age group of 7-17 years. With a mission to give slum kids a voice by initiating them into music, Dharavi Rocks create music out of all the waste material like drum barrels, coffee shakers, paint cans, plastic boxes and all other type of junk stuff that we can find in the areas of Dharavi Slums emphasizing on the concept of Recycle, Reuse & Respect."
Sharmeen Obaid Chinoy,CEO of SOC Films Documentary Filmmaker,"Sharmeen Obaid Chinoy is an Academy and Emmy Award winning documentary filmmaker. She spearheads SOC Films, a documentary house specializing in investigative and socially motivated content. Sharmeen is currently directing two feature films including Peacekeepers, a film about Bangladeshi policewomen who are serving as UN peacekeeping forces in Haiti, and Sounds of Sachal, a documentary based on a jazz ensemble in Lahore. She is also the CEO of Waadi Animations, a company set up to produce animated feature and short films. Its first project is 3 Bahadur, Pakistan’s first animated feature film, which will be released nationwide in the summer of 2015. In 2012, Time Magazine included Sharmeen in their annual list of the 100 most influential people in the world. In 2014, the Asia Society in New York honored her with an Asia Game Changer Award"
Gazal Dhaliwal,Screenwriter,"Gazal did a B.Tech in Chemical Engineering from NIT, Jaipur, and went on to work as a software engineer with Infosys Technologies for 2 years, before she decided to pursue one of the two biggest dreams of her life. She moved to Mumbai in 2005 to work in the movies. Today, she writes films for some remarkable people in the Hindi film industry, namely Vidhu Vinod Chopra, Govind Nihalani, Prakash Jha and Tanuja Chandra. In 2007, she took another life changing decision. She went through a medical process to fix a disorder she was born with. Her journey to being who she is, has been two-fold – the external path to find a place for herself in the daunting business of the movies… and the internal path of combat with her own identity and destiny."
Zia Mody,Corporate Lawyer,"Zia Mody is considered an authority on corporate merger and acquisition law, securities law, private equity and project finance in India. She is a Senior Partner of the Law Firm of AZB & Partners which has its offices in Mumbai, Delhi and Bangalore in India. Zia Mody did her law at Cambridge University and then went on to do an LLM from Harvard University. Zia is also the recipient of the Economic Times Awards for Corporate Excellence as the Businesswoman of the Year, 2010. She was selected as one of the 25 most powerful women in Indian business by Business Today in 2004 and was selected as one of India’s 100 most powerful CEO’s by the Economic Times in 2005."
Vani Kola,"Managing Director, Kalaari Capital","Vani Kola is a Managing Director at Kalaari Capital, based in Bangalore, India. Her leadership at Kalaari centers around her commitment to the development of entrepreneurs and her conviction that Indian companies are poised to become global players. Vani brings 22 years of Silicon Valley experience as a founder of successful companies to her role as a mentor and enabler of startup companies in India. She serves on several company boards and speaks widely on entrepreneurship and leadership"
Steve Boyes,Conservation Biologist,"Steve, a conservation biologist featured by National Geographic, is the Scientific Director of the Wild Bird Trust in South Africa, an organization that works to preserve wildlife and advance the research and education on the conservation of all birds in Africa. The organization’s work has been instrumental in getting the Okavango Delta wilderness in northern Botswana listed as a UNESCO World Heritage Site, and its annual expeditions across the wilderness represent the most comprehensive biodiversity survey ever undertaken in this remote area. Steve recently completed a major National Geographic-sponsored expedition across the Okavango Delta to promote broader protection for the watershed and its wildlife"
Deb Roy,"Cognitive Scientist; Chief Media Scientist, Twitter","Deb Roy is an Associate Professor at the Massachusetts Institute of Technology (MIT) and is Chief Media Scientist of Twitter. He conducts research at the intersection of human and machine communication. In 2008 he co-founded and was the founding CEO of Bluefin Labs, a social TV analytics company, which MIT Technology Review named as one of the 50 most innovative companies of 2012. Bluefin was acquired by Twitter in 2013. He has authored over 100 academic papers in machine learning, cognitive modeling, and human-machine interaction."
Ani Choying Drolma,"Musician, Humanitarian","Ani Choying Drolma is an internationally reputed singer. Having been educated in a Buddhist nunnery, she studied Buddhist meditation, chants, rituals and ceremonies, and soon advanced to chanting master. Ani recently performed on MTV’s Coke Studio for a composition by A.R. Rahman that is said to have put a whole new spin to the term ‘world music’. The proceeds from her concert tours, CD sales and donations goes toward running a school started by her in the year 2000 called Arya Tara School."
Neeraj Kakkar,Entrepreneur,"Neeraj is co-founder and CEO of Hector Beverages, the makers of Paper Boat drinks, traditional Indian beverages. Their other brand is Tzinga Energy Drink, the second largest selling energy drink in India.  Prior to starting with Hector Beverages, Neeraj had an impressive career with The Coca-Cola Company for 8 years."
Jordan Brandt,"Technology futurist, AUTODESK","As a Manufacturing Technology Futurist at Autodesk, Inc., Jordan Brandt spends a lot of time in the past talking to people in the present about the future of designing and making things. Brandt was named one of Forbes’ 12 “NextGen Innovators” in 2014. Originally from a small farming community in Kansas, Brandt has a degree in Architecture from the University of Kansas and a doctorate from Harvard. His doctoral dissertation developed the concept of distributed manufacturing systems (mobile factories)."
Shashwat Ratan,Technology Educator,"Shashwat co-founded Robo Shack Microtronics with the aim of making learning about technology fun and engaging. Electro Bricks, the low-cost electronics kits designed for children by Robo Shack do not need any prior skills in programming or soldering. The bricks are pluggable with each other and one can create complex circuits using a number of different combinations of the bricks."
Henry Kaiser,"GUITARIST, DIVER, FILMMAKER","If you thought there’s no more original music out there, think again. Guitarist Henry Kaiser is a prolific member of the San Francisco Bay Area music scene, as well as being a globally recognized leader of the “second generation” free improvisers. Kaiser has integrated the subtle string textures of the American blues stylists with traditional music of India, Korea, and Vietnam. Kaiser’s non-stop creativity unearthed many unconventional electric guitar techniques during these years, and he combined these innovations with a strong sense of logic development. Henry also happens to be a diver-photographer and a filmmaker, with over 3500+ dives, 4 feature film collaborations, and 250+ record albums, there’s no telling what this creative genius will do next."
Bickram Ghosh,New-age Percussionist,"World famous percussionist and new age percussion star, Bickram Ghosh is ranked amongst the great tabla players from India. Equally brilliant within traditional as well as experimental genres, Bickram has carved out a unique niche for himself in his diverse avatars as classical musician, new age artiste and composer. With over 50 recordings as soloist, composer and collaborator, Bickram has performed in almost every top venue in the world, and his performances have met with accolades in international circuits."
Viswa Subbaraman,Conductor and Music Director,"Internationally acclaimed American conductor, Viswa Subbaraman, is currently the Artistic Director/Music Director of The Skylight Music Theatre in Milwaukee. In his inaugural season at the Skylight, highlights include  a number of critically acclaimed and audience acclaimed productions such as a Bollywood production of Beethoven’s Fidelio, which he both stage directed and conducted, a production of Hans Werner Henze’s El Cimarrón, and Philip Glass’ Hydrogen Jukebox."
